configID	GameType	RoomKindName	MaxSeat	BigBlind	RendFeePerDay	DeskFee	DividFeeRate	miniTakeIn	maxTakeIn	Reward	CoinTopLimit	CoinLowLimit	NeedRegister	isOmitNewPlayerHalo	MaxLose	baseTakeIn	NeedRobotLevel
1	0	金币德州 初级	9	2	2	1	0	20	400	101,102,103	5000	200	0	0	0	200	0
2	0	金币德州 初级	9	4	4	1	0	40	800	201,202,203	0	0	0	0	0	400	0
3	0	金币德州 初级	9	10	10	2	1	100	2000	301,302,303	20000	2000	0	0	0	1000	0
4	0	金币德州 中级	9	20	20	5	1	200	4000	401,402,403	0	0	1	0	80000	2000	0
5	0	金币德州 中级	9	50	50	10	2	500	10000	501,502,503	0	10000	1	0	200000	5000	0
6	0	金币德州 中级	9	100	100	30	3	1000	20000	601,602,603	0	0	1	0	400000	10000	0
7	0	金币德州 中级	9	200	200	70	3	2000	40000	701,702,703	0	50000	1	0	800000	20000	0
8	0	金币德州 高级	9	500	500	150	3	5000	100000	801,802,803	0	0	1	0	2000000	50000	0
9	0	金币德州 高级	9	1000	1000	350	5	10000	200000	901,902,903	0	0	1	0	4000000	100000	0
10	0	金币德州 高级	9	2000	2000	700	5	20000	400000	100,110,021,003	0	0	1	0	8000000	200000	0
11	0	金币德州 高级	9	5000	5000	1400	5	50000	1000000	110,111,021,103	0	0	1	0	20000000	500000	0
12	0	金币德州 高级	9	10000	10000	3500	5	100000	2000000	120,112,021,203	0	0	1	0	40000000	1000000	0
13	0	金币德州 高级	9	20000	20000	7000	5	200000	4000000	130,113,021,303	0	0	1	0	80000000	2000000	0
14	0	金币德州 高级	9	40000	40000	14000	5	400000	8000000	140,114,021,403	0	0	1	0	160000000	4000000	0
15	0	金币德州 初级	5	2	1	1	1	20	400	101,102,103	0	0	0	0	0	0	0
16	0	金币德州 初级	5	4	2	1	1	40	800	201,202,203	0	0	0	0	0	0	0
17	0	金币德州 初级	5	10	5	2	1	100	2000	301,302,303	0	0	0	0	0	0	0
18	0	金币德州 中级	5	20	10	5	1	200	4000	401,402,403	0	0	1	0	0	0	0
19	0	金币德州 中级	5	50	25	10	1	500	10000	501,502,503	0	0	1	0	0	0	0
20	0	金币德州 中级	5	100	50	30	1	1000	20000	601,602,603	0	0	1	0	0	0	0
21	0	金币德州 中级	5	200	100	70	1	2000	40000	701,702,703	0	0	1	0	0	0	0
22	0	金币德州 高级	5	500	250	150	1	5000	100000	801,802,803	0	0	1	0	0	0	0
23	0	金币德州 高级	5	1000	500	350	1	10000	200000	901,902,903	0	0	1	0	0	0	0
24	0	金币德州 高级	5	2000	1000	700	1	20000	400000	100,110,021,003	0	0	1	0	0	0	0
25	0	金币德州 高级	5	5000	2500	1400	1	50000	1000000	110,111,021,103	0	0	1	0	0	0	0
26	0	金币德州 高级	5	10000	5000	3500	1	100000	2000000	120,112,021,203	0	0	1	0	0	0	0
27	0	金币德州 高级	5	20000	10000	7000	1	200000	4000000	130,113,021,303	0	0	1	0	0	0	0
28	0	金币德州 高级	5	40000	20000	14000	1	400000	8000000	140,114,021,403	0	0	1	0	0	0	0
29	1	 金币牛牛 初级	6	1	1	1	0	200	0	290,129,022,903	5000	200	0	0	0	200	0
30	1	 金币牛牛 初级	6	2	2	2	1	400	0	300,130,023,003	0	0	0	0	0	400	0
31	1	 金币牛牛 初级	6	5	5	5	2	1000	0	310,131,023,103	20000	2000	0	0	0	1000	0
32	1	 金币牛牛 初级	6	10	10	10	3	2000	0	320,132,023,203	0	0	0	0	0	2000	0
33	1	 金币牛牛 中级	6	25	25	25	3	5000	0	330,133,023,303	0	10000	1	0	0	5000	0
34	1	 金币牛牛 中级	6	50	50	50	4	10000	0	340,134,023,403	0	0	1	0	0	10000	0
35	1	 金币牛牛 高级	6	100	100	100	5	20000	0	350,135,023,503	0	50000	1	0	0	20000	0
36	1	 金币牛牛 高级	6	500	500	500	5	100000	0	360,136,023,603	0	0	1	0	0	50000	0
37	2	诈金花 初级	5	1	1	1	0	200	0	290,129,022,903	5000	200	0	0	0	200	0
38	2	诈金花 初级	5	2	2	2	1	400	0	300,130,023,003	0	0	0	0	0	400	0
39	2	诈金花 初级	5	5	5	5	1	1000	0	310,131,023,103	20000	2000	0	0	0	1000	0
40	2	诈金花 初级	5	10	10	10	2	2000	0	320,132,023,203	0	0	0	0	0	2000	0
41	2	诈金花 中级	5	25	25	25	3	5000	0	330,133,023,303	0	10000	0	0	0	5000	0
42	2	诈金花 中级	5	50	50	50	4	10000	0	340,134,023,403	0	0	0	0	0	10000	0
43	2	诈金花 高级	5	100	100	100	5	20000	0	350,135,023,503	0	50000	0	0	0	20000	0
44	2	诈金花 高级	5	500	500	500	5	100000	0	360,136,023,603	0	0	0	0	0	50000	0
